region_id,region_label,cluster_id,cluster_label,city_tier,job_count,salary_mean,salary_median,education_level,experience_demand,skill_concentration,finance_maturity,scale_intensity
S503,#269,2,均衡发展型,三线,298,69.93,63.0,0.7769,0.6294,0.3402,0.55,0.413
S528,#270,2,均衡发展型,二线,299,63.73,58.0,0.7617,0.6321,0.2645,0.75,0.4135
S542,#271,0,高端人才型,一线,22149,102.94,103.19,0.8617,0.698,0.8524,1.0,0.9801
S546,#272,2,均衡发展型,其他,295,63.13,60.0,0.7737,0.6262,0.183,0.4,0.4117
S650,#273,2,均衡发展型,其他,280,75.89,60.86,0.7804,0.6342,0.2898,0.4,0.4048
S655,#274,2,均衡发展型,其他,295,78.96,66.0,0.8178,0.663,0.3277,0.4,0.4117
S668,#275,2,均衡发展型,其他,293,69.66,66.0,0.7709,0.628,0.2538,0.4,0.4108
S732,#276,2,均衡发展型,其他,294,93.89,78.0,0.8036,0.6973,0.4451,0.4,0.4112
S750,#277,2,均衡发展型,其他,294,67.94,68.57,0.7504,0.6283,0.2255,0.4,0.4112
S759,#278,2,均衡发展型,其他,286,157.77,140.5,0.8427,0.7303,0.2563,0.4,0.4076
S764,#279,2,均衡发展型,三线,296,59.44,48.0,0.7956,0.64,0.2465,0.55,0.4121
S808,#280,2,均衡发展型,其他,293,72.04,66.0,0.7888,0.6558,0.315,0.4,0.4108
S959,#281,0,高端人才型,一线,22334,99.37,108.05,0.8387,0.6916,0.6667,1.0,0.9812
T061,#282,2,均衡发展型,其他,296,95.33,84.0,0.7943,0.6665,0.3515,0.4,0.4121
T182,#283,2,均衡发展型,三线,298,71.31,66.0,0.7714,0.6544,0.1701,0.55,0.413
T526,#284,2,均衡发展型,二线,298,62.56,54.0,0.7643,0.6304,0.2324,0.75,0.413
T739,#285,2,均衡发展型,其他,293,68.14,63.0,0.7598,0.6519,0.1651,0.4,0.4108
T766,#286,2,均衡发展型,三线,297,68.9,60.0,0.779,0.6417,0.2467,0.55,0.4126
T815,#287,2,均衡发展型,三线,297,66.42,60.0,0.7344,0.645,0.1466,0.55,0.4126
T818,#288,2,均衡发展型,其他,294,71.37,66.0,0.7963,0.6443,0.2409,0.4,0.4112
U038,#289,2,均衡发展型,三线,298,88.2,78.0,0.7982,0.674,0.4147,0.55,0.413
U072,#290,2,均衡发展型,其他,291,83.02,66.0,0.7594,0.6564,0.1726,0.4,0.4099
U125,#291,2,均衡发展型,三线,297,72.4,66.0,0.7597,0.6344,0.2068,0.55,0.4126
U183,#292,2,均衡发展型,其他,284,67.9,60.0,0.7526,0.6258,0.2002,0.4,0.4067
U192,#293,2,均衡发展型,其他,295,78.1,72.0,0.7822,0.676,0.2589,0.4,0.4117
U289,#294,2,均衡发展型,三线,297,68.62,58.0,0.7517,0.6469,0.2385,0.55,0.4126
U553,#295,2,均衡发展型,二线,298,73.32,66.0,0.7856,0.6726,0.2989,0.75,0.413
U555,#296,2,均衡发展型,其他,289,70.33,72.0,0.7327,0.6372,0.2009,0.4,0.409
U561,#297,2,均衡发展型,其他,292,67.44,62.0,0.7444,0.6419,0.2054,0.4,0.4103
U585,#298,1,技能驱动型,其他,61,105.51,92.2,0.748,0.5621,1.0,0.4,0.2058
U692,#299,2,均衡发展型,三线,297,73.45,66.0,0.7601,0.6445,0.1853,0.55,0.4126
U827,#300,2,均衡发展型,其他,288,81.41,66.0,0.7834,0.6538,0.4096,0.4,0.4085
U947,#301,2,均衡发展型,三线,298,80.98,70.7,0.7521,0.6462,0.2134,0.55,0.413
U989,#302,2,均衡发展型,三线,297,83.34,72.0,0.7828,0.6633,0.3023,0.55,0.4126
V042,#303,2,均衡发展型,三线,296,62.4,60.0,0.7652,0.6438,0.2553,0.55,0.4121
V079,#304,2,均衡发展型,三线,297,68.34,60.0,0.7765,0.6489,0.1731,0.55,0.4126
V339,#305,2,均衡发展型,三线,298,77.6,78.0,0.7479,0.6419,0.2503,0.55,0.413
V365,#306,2,均衡发展型,三线,298,61.13,54.0,0.7618,0.6342,0.2332,0.55,0.413
V403,#307,2,均衡发展型,其他,225,73.3,66.0,0.7917,0.6152,0.0901,0.4,0.3761
V404,#308,2,均衡发展型,三线,296,74.26,72.0,0.7817,0.6443,0.3508,0.55,0.4121
V411,#309,2,均衡发展型,其他,119,90.61,80.4,0.7836,0.6807,0.0873,0.4,0.2928
V436,#310,2,均衡发展型,二线,299,89.44,78.0,0.8119,0.6818,0.3288,0.75,0.4135
V449,#311,0,高端人才型,一线,22079,102.11,96.75,0.8421,0.7027,0.71,1.0,0.9797
V625,#312,2,均衡发展型,其他,295,70.46,66.0,0.7534,0.6368,0.2268,0.4,0.4117
V726,#313,2,均衡发展型,三线,298,63.97,60.0,0.7714,0.6376,0.2185,0.55,0.413
V754,#314,2,均衡发展型,其他,292,68.95,66.0,0.7804,0.6394,0.2295,0.4,0.4103
V829,#315,2,均衡发展型,三线,297,72.15,66.0,0.7508,0.6585,0.2763,0.55,0.4126
V838,#316,2,均衡发展型,三线,297,113.7,90.0,0.8367,0.6691,0.6433,0.55,0.4126
V852,#317,2,均衡发展型,二线,299,73.4,66.0,0.7818,0.6503,0.3433,0.75,0.4135
V883,#318,2,均衡发展型,其他,295,71.78,66.0,0.7665,0.6508,0.249,0.4,0.4117
V932,#319,0,高端人才型,一线,22180,89.08,85.23,0.8572,0.684,0.7855,1.0,0.9803
V996,#320,2,均衡发展型,其他,274,74.38,63.82,0.7637,0.6444,0.107,0.4,0.402
W029,#321,2,均衡发展型,其他,294,64.9,60.0,0.7653,0.6331,0.2195,0.4,0.4112
W055,#322,2,均衡发展型,三线,296,73.33,66.0,0.7521,0.6501,0.1893,0.55,0.4121
W147,#323,2,均衡发展型,其他,278,73.91,66.0,0.7698,0.628,0.2403,0.4,0.4039
W396,#324,2,均衡发展型,其他,296,72.66,63.0,0.7732,0.6308,0.2605,0.4,0.4121
W405,#325,2,均衡发展型,其他,289,78.04,66.0,0.7422,0.6406,0.1624,0.4,0.409
W657,#326,2,均衡发展型,三线,296,82.72,71.79,0.753,0.6453,0.2914,0.55,0.4121
W665,#327,2,均衡发展型,其他,291,79.66,80.05,0.7715,0.6436,0.137,0.4,0.4099
W805,#328,2,均衡发展型,其他,295,74.63,72.19,0.7576,0.6426,0.3332,0.4,0.4117
W823,#329,2,均衡发展型,二线,298,62.63,54.0,0.7995,0.6587,0.3072,0.75,0.413
X058,#330,2,均衡发展型,其他,234,105.47,96.0,0.7922,0.6807,0.0,0.4,0.3813
X066,#331,2,均衡发展型,三线,297,76.82,66.0,0.7698,0.6662,0.3139,0.55,0.4126
X232,#332,2,均衡发展型,其他,295,80.89,66.0,0.7682,0.6615,0.2934,0.4,0.4117
X246,#333,2,均衡发展型,其他,283,90.02,78.0,0.7557,0.6532,0.097,0.4,0.4062
X536,#334,2,均衡发展型,三线,297,71.12,66.0,0.7849,0.6306,0.2134,0.55,0.4126
X673,#335,2,均衡发展型,其他,295,79.89,66.0,0.7509,0.6324,0.2339,0.4,0.4117
X798,#336,2,均衡发展型,其他,291,78.35,81.3,0.7728,0.649,0.27,0.4,0.4099
X910,#337,2,均衡发展型,二线,300,74.63,66.0,0.7662,0.6476,0.3379,0.75,0.4139
X916,#338,2,均衡发展型,三线,298,74.86,66.0,0.7752,0.6553,0.1288,0.55,0.413
X990,#339,2,均衡发展型,三线,298,105.73,90.0,0.7739,0.6855,0.4593,0.55,0.413
Y031,#340,2,均衡发展型,三线,298,70.3,66.0,0.7886,0.6371,0.2529,0.55,0.413
Y034,#341,2,均衡发展型,三线,297,75.45,74.67,0.7601,0.6402,0.248,0.55,0.4126
Y232,#342,0,高端人才型,一线,24373,114.62,107.23,0.8372,0.6985,0.7745,1.0,0.9927
Y253,#343,2,均衡发展型,二线,299,67.03,66.0,0.778,0.6479,0.2879,0.75,0.4135
Y255,#344,2,均衡发展型,三线,297,75.57,66.0,0.7799,0.6542,0.2773,0.55,0.4126
Y350,#345,2,均衡发展型,二线,299,81.88,78.0,0.7813,0.6312,0.3388,0.75,0.4135
Y359,#346,2,均衡发展型,三线,296,67.64,63.0,0.7918,0.6424,0.2277,0.55,0.4121
Y434,#347,2,均衡发展型,三线,296,66.72,58.83,0.7559,0.6675,0.3111,0.55,0.4121
Y495,#348,2,均衡发展型,其他,296,74.88,66.0,0.8294,0.668,0.3621,0.4,0.4121
Y528,#349,2,均衡发展型,二线,298,86.31,75.0,0.805,0.6568,0.3348,0.75,0.413
Y531,#350,2,均衡发展型,三线,296,75.29,78.86,0.788,0.6462,0.2745,0.55,0.4121
Y532,#351,2,均衡发展型,其他,295,69.41,66.0,0.7297,0.6349,0.2447,0.4,0.4117
Y633,#352,0,高端人才型,一线,23761,102.11,94.89,0.8611,0.7015,0.8172,1.0,0.9894
Y770,#353,2,均衡发展型,其他,295,68.74,62.4,0.7746,0.6504,0.2406,0.4,0.4117
Y784,#354,2,均衡发展型,其他,291,64.78,58.0,0.7607,0.6362,0.2383,0.4,0.4099
Y788,#355,2,均衡发展型,其他,287,71.69,67.71,0.7483,0.6346,0.215,0.4,0.4081
Y964,#356,2,均衡发展型,二线,300,82.84,69.0,0.8129,0.6714,0.3767,0.75,0.4139
Z087,#357,2,均衡发展型,三线,298,73.87,64.0,0.7932,0.651,0.1981,0.55,0.413
Z181,#358,2,均衡发展型,其他,138,78.96,60.0,0.7817,0.6708,0.0603,0.4,0.3121
Z182,#359,2,均衡发展型,三线,298,72.49,66.0,0.7601,0.6481,0.1565,0.55,0.413
Z196,#360,2,均衡发展型,三线,298,86.83,78.0,0.789,0.6659,0.1578,0.55,0.413
Z251,#361,2,均衡发展型,其他,285,74.04,66.0,0.7785,0.6521,0.259,0.4,0.4072
Z347,#362,2,均衡发展型,其他,290,76.91,70.67,0.7754,0.6567,0.3172,0.4,0.4094
Z450,#363,2,均衡发展型,其他,294,73.77,68.0,0.7768,0.6399,0.3276,0.4,0.4112
Z463,#364,2,均衡发展型,其他,292,56.26,48.0,0.7521,0.6414,0.2994,0.4,0.4103
Z490,#365,2,均衡发展型,二线,299,60.23,54.0,0.7793,0.6369,0.1733,0.75,0.4135
Z530,#366,2,均衡发展型,其他,19,75.9,66.0,0.75,0.5789,0.1821,0.4,0.0567
Z581,#367,2,均衡发展型,其他,294,74.12,66.0,0.7649,0.639,0.3911,0.4,0.4112
Z731,#368,2,均衡发展型,其他,296,70.57,63.0,0.7728,0.667,0.196,0.4,0.4121
Z789,#369,2,均衡发展型,三线,297,76.42,72.0,0.7723,0.6301,0.3491,0.55,0.4126
Z824,#370,2,均衡发展型,三线,297,83.92,72.0,0.774,0.6744,0.2559,0.55,0.4126
Z885,#371,2,均衡发展型,三线,298,77.75,74.0,0.7718,0.6409,0.3237,0.55,0.413
